noaa_44021,6,-6,-1.23,2.45
noaa_44025,5,-7,-2.34,2.66
noaa_44035,5,-6,-0.12,10.71
noaa_44039,5,-5,1.03,3.08
noaa_44044,4,-6,2.45,3.26
noaa_46245,5,5,5.67,4.76
noaa_46248,5,6,7.39,9.89
noaa_46249,5,7,4.28,3.91
noaa_46256,6,6,5.77,5.82
noaa_46261,4,6,8.92,4.88
noaa_51123,-4,-7,12.23,12.11
noaa_51124,-5,-6,14.13,12.67
noaa_51125,-6,-5,11.12,13.01
noaa_51130,-7,-4,9.11,12.77
noaa_51131,-7,-3,10.45,12.46
noaa_51141,-7,-2,13.42,11.88
noaa_51145,-7,-1,13.22,13.21
noaa_51146,-7,0,14.56,8.17
noaa_56158,-7,1,15.45,12.68
noaa_56160,-7,2,14.22,13.01
noaa_56267,-7,3,15.58,12.79
noaa_56268,-7,4,15.22,12.99
noaa_57001,-6,5,14.78,13.53
noaa_57002,-5,6,16.45,13.72
noaa_57014,-4,7,19.77,12.98
